Sl No,city,overspeeding,drunken_driving_drugs_use,wrong_side_driving,jumping_red_light,using_mobile_phone,others,total_fatalities
1.0,Agra,234,8,47,11,4,195,500.0
2.0,Ahmedabad,515,2,7,11,0,0,537.0
3.0,Allahabad (Prayagraj),182,56,139,61,93,51,585.0
4.0,Amritsar,53,2,10,0,0,45,114.0
5.0,Asansol Durgapur,149,0,1,0,0,203,358.0
6.0,Aurangabad,0,0,4,0,0,199,209.0
7.0,Bengaluru,873,9,5,3,0,25,922.0
8.0,Bhopal,196,0,0,0,0,0,204.0
9.0,Chandigarh,60,4,1,2,0,0,76.0
10.0,Coimbatore,106,1,4,0,0,194,315.0
11.0,Chennai,133,11,0,0,0,359,514.0
12.0,Delhi,703,1,83,72,33,565,1469.0
13.0,Dhanbad,214,0,8,0,0,84,319.0
14.0,Faridabad,263,0,6,0,0,0,283.0
15.0,Ghaziabad,19,4,26,6,5,305,380.0
16.0,Gwalior,157,1,151,0,0,35,360.0
17.0,Hyderabad,288,12,8,0,3,24,352.0
18.0,Indore,217,2,0,0,0,38,275.0
19.0,Jabalpur,503,0,2,0,0,40,564.0
20.0,Jaipur,770,7,9,3,3,57,869.0
21.0,Jamshedpur,34,13,24,20,28,99,239.0
22.0,Jodhpur,166,0,17,0,0,78,283.0
23.0,Kannur,48,0,4,0,0,65,140.0
24.0,Kanpur,201,163,178,19,54,23,662.0
25.0,Khozikode,89,3,4,0,0,76,197.0
26.0,Kochi,117,2,3,0,1,54,203.0
27.0,Kolkata,14,2,3,3,0,137,186.0
28.0,Kollam,124,0,3,0,0,84,239.0
29.0,Kota,107,6,1,0,0,0,143.0
30.0,Lucknow,149,98,95,43,93,90,598.0
31.0,Ludhiana,210,1,7,0,0,184,433.0
32.0,Madurai,89,5,24,3,0,143,296.0
33.0,Mallapuram,200,1,24,0,0,84,342.0
34.0,Meerut,121,42,31,4,2,195,429.0
35.0,Mumbai,373,11,0,0,0,0,419.0
36.0,Nagpur,22,6,15,0,0,265,344.0
37.0,Nashik,202,0,5,1,0,0,245.0
38.0,Patna,74,0,31,0,0,95,238.0
39.0,Pune,272,6,1,0,0,72,390.0
40.0,Raipur,475,0,2,0,0,30,547.0
41.0,Rajkot,169,0,3,2,0,4,219.0
42.0,Srinagar,56,0,0,0,0,0,98.0
43.0,Surat,304,0,5,0,0,0,352.0
44.0,Thiruvanthapuram,64,0,0,0,0,73,181.0
45.0,Thrissur,143,0,5,2,2,79,276.0
46.0,Tiruchirapalli,155,0,0,0,0,10,211.0
47.0,Vadodra,166,1,7,0,0,25,246.0
48.0,Varanasi,73,9,49,38,49,109,375.0
49.0,Vijaywada city,370,0,3,0,0,0,422.0
50.0,Vizaq,270,7,14,0,0,31,372.0
